tweet,date,link
The Four Most Common Fallacies About AI « Machine Learning Times https://t.co/FW4kkjB008 #ai #ml #dl,2021-05-20 15:04:49,https://twitter.com/i/web/status/1395395092576448516
"Join GF's Paul Schroeder at @siemenssoftware's Realize Live + U2U 2021 on May 26 to hear how machine learning enhanced DFM tools from Siemens can be used to create robust design layouts, improve yield and accelerate time to market. Click below to register. https://t.co/cdjXWXEVB0",2021-05-20 15:04:46,https://twitter.com/i/web/status/1395395079796318209
"If you've ever worried about facial recognition, you're not alone. https://t.co/LlWm19PYGu",2021-05-20 15:04:36,https://twitter.com/i/web/status/1395395037068881921
"Is Artificial Intelligence/Machine Learning Real? Another strong program 1 PM today online by @HudsonValleyDMA https://t.co/TtbLtYUt6l
@cbsiservices 
#AI #ArtificialInteligence #digitalmarketing",2021-05-20 15:04:17,https://twitter.com/i/web/status/1395394958434177025
"If you've ever worried about facial recognition, you're not alone. https://t.co/XbSRLs7Q2a",2021-05-20 15:04:10,https://twitter.com/i/web/status/1395394926142124036
"Upstream Security Raises $36M from Mitsui Sumitomo Insurance to Disrupt the Telematics ...: MSI strives to provide security and satisfaction to their customers, and Upstream's machine learning and big data platform is designed to… https://t.co/c0UKxdOhte #bigdata #cdo #cto",2021-05-20 15:04:05,https://twitter.com/i/web/status/1395394906739286017
"AI is thousands of times faster at simulating Universe: With machine learning, astrophysicists can now simulate vast, complex universes in a fraction of the time it takes with conventional methods. via @future_timeline https://t.co/uVK7pA8OWn",2021-05-20 15:04:03,https://twitter.com/i/web/status/1395394897260199942
"Take a Deep Dive into Ray Tracing, Machine Learning and Neural Networks Through SIGGRAPH Frontiers... https://t.co/Tp6sX3bDSs #ai #ml #dl",2021-05-20 15:03:50,https://twitter.com/i/web/status/1395394843078053897
"If you've ever worried about facial recognition, you're not alone. https://t.co/er09iTIElm",2021-05-20 15:02:50,https://twitter.com/i/web/status/1395394590606192643
Qeexo Collaborates with STMicroelectronics to Automate Machine Learning on Machine Learning Core (... https://t.co/wqBukkDZ9I #ai #ml #dl,2021-05-20 15:02:49,https://twitter.com/i/web/status/1395394588987301898
"Get Flat 96% Off on Machine Learning on Udemy 

Study Now!
https://t.co/ChqyvOhIZ1
-#sridivya https://t.co/xKHmw4DQbX",2021-05-20 15:02:46,https://twitter.com/i/web/status/1395394573866704896
Build and deploy your first #MachineLearning web app - KDnuggets #KDN https://t.co/JwQRqclzRZ,2021-05-20 15:02:17,https://twitter.com/i/web/status/1395394453096050690
Organizations are using MITRE ATT&amp;CK framework to identify holes in defenses &amp; to prioritize them based on risk. Attend this #webinar to learn how @Gurucul can automate your cyber defenses with machine learning models on big data. Register now - https://t.co/zXNsdjWV82 #infosec https://t.co/g0p1RgDgzA,2021-05-20 15:02:16,https://twitter.com/i/web/status/1395394447605739522
"An Introduction to #MachineLearning in Medicine
#AI #AIio #BigData #ML #NLU #Futureofwork

@ahier @guzmand  @DavidBrin @denisegarth @dez_blanchfield @diioannid @DioFavatas @gerald_bader https://t.co/cyPmfGsTWV https://t.co/c0ybrmZMcC",2021-05-20 15:02:07,https://twitter.com/i/web/status/1395394410926456844
"An Introduction to #MachineLearning in Medicine
#AI #AIio #BigData #ML #NLU #Futureofwork https://t.co/T5BfOczIt8",2021-05-20 15:02:06,https://twitter.com/i/web/status/1395394408581902336
"Expert Advisor Studio ~ Fintechee's solutions(1) How to make machine learning improve your trading?
https://t.co/RKmJcq17m0
#tradingplatform #expertadvisor #fibonacci https://t.co/cyJ8FG32Cg",2021-05-20 15:02:05,https://twitter.com/i/web/status/1395394403678699523
"If you've ever worried about facial recognition, you're not alone. https://t.co/rGCzp79GQx",2021-05-20 15:02:04,https://twitter.com/i/web/status/1395394400595836936
"If you've ever worried about facial recognition, you're not alone. https://t.co/jmOSsdVtbq",2021-05-20 15:01:59,https://twitter.com/i/web/status/1395394376625315844
BaseTen: Creating Machine Learning APIs with Tuhin Srivastava and Amir Haghighat - Software Engine... https://t.co/d75q9oRhkw #ai #ml #dl,2021-05-20 15:01:50,https://twitter.com/i/web/status/1395394339103199236
"If you've ever worried about facial recognition, you're not alone. https://t.co/INxKJgX6TF",2021-05-20 15:01:48,https://twitter.com/i/web/status/1395394330680958980
"Implementing new #technologies like artificial intelligence and machine learning are part of a solid business strategy. Some key advantages include increased productivity, higher rates of production, improved quality, and efficient use of materials. #MSP https://t.co/KktxtkuD3o",2021-05-20 15:01:44,https://twitter.com/i/web/status/1395394316290478082
"We're on other platforms too!
📍Apple Podcasts: https://t.co/aoRnsuC30T​​
📍Spotify: https://t.co/ugjGincXOb​
📍Google Podcasts: https://t.co/y2RS06OFo0​​
📍Soundcloud: https://t.co/KSBKcdZwDK https://t.co/gVVgxNOsWq",2021-05-20 15:01:44,https://twitter.com/i/web/status/1395394313266155527
"In this episode of Gradient Dissent, we're joined by @sAlyssaSF, Director of Product at @BlueShieldCA and co-author of ""Real World AI"" 💫

🎥: https://t.co/vY1HLkpBhD
✏️: https://t.co/I3LfzMukJI https://t.co/E8oDeEVqID",2021-05-20 15:01:43,https://twitter.com/i/web/status/1395394308950269953
".@Carestream Health will use @HPE_GreenLake for #MLOps, a machine learning-optimized cloud service infrastructure powered by @HPE_Ezmeral and @HPE_Pointnext , to enhance X-ray solutions and facilitate #AI-enabled medical diagnosis.",2021-05-20 15:01:31,https://twitter.com/i/web/status/1395394259092525064
How to Perform Feature Scaling in Machine Learning #Learning #machinelearning via https://t.co/r12ZQ2CSWN https://t.co/vIzHiiL3s5,2021-05-20 15:01:18,https://twitter.com/i/web/status/1395394207175557123
"Today another use case. This time: #healthcare. #ML model gauges #unconsciousness in patients under #anesthesia, to help dosage of anesthetics and reducing risks for the patient😴✅

Looking for data for your next #AI project?
👉https://t.co/JTBatwrAzW

🔗https://t.co/em5Ddc6vq8",2021-05-20 15:01:13,https://twitter.com/i/web/status/1395394182785687552
"@Money_Reasons @nytimes As for history, you hardly need a time machine to see the disparity. The amount of scandals and atrocities present in the last 100 years of US history that go unmentioned in history classes are enumerable. It’s unsurprising that many have issues with US policy after learning this",2021-05-20 15:01:07,https://twitter.com/i/web/status/1395394161579368449
"#AI in the #enterprise: Succeeding with #agile #dataOps and #machinelearning!
https://t.co/vt1jVSdrZP

#DevOps #DevSecOps #DataAnalytics #ML #Deeplearning #DL #digitaltransformation #Coding #ApplicationDevelopment #ArtificiallIntelligence https://t.co/S5HiMGZsvu",2021-05-20 15:00:40,https://twitter.com/i/web/status/1395394046084931584
"May is National Inventor's Month! Depix, one of our ventures, has developed technology that combines computer vision and machine learning to seamlessly integrate an object into an image.
Learn more here: https://t.co/d5jeZ2PzUe
#deeptech #imagecreation https://t.co/lv1fP4VprQ",2021-05-20 15:00:30,https://twitter.com/i/web/status/1395394006079655939
"The first two courses of our much anticipated Machine Learning Engineering for Production (MLOps) Specialization are live on @coursera!

Enroll now: https://t.co/HQyJLmXNXh https://t.co/mf7GHdvFvl",2021-05-20 15:00:25,https://twitter.com/i/web/status/1395393984269328389
"🚨 NEW: CVE-2021-29581 🚨 TensorFlow is an end-to-end open source platform for machine learning. Due to lack of validation in `tf.raw_ops.CTCBeamSearchDecoder`, an attacker can trigger denial of service via segmentat... (click for more) Severity: MEDIUM https://t.co/EHVlvaeNSA",2021-05-20 15:00:24,https://twitter.com/i/web/status/1395393980725006338
🚨 NEW: CVE-2021-29580 🚨 TensorFlow is an end-to-end open source platform for machine learning. The implementation of `tf.raw_ops.FractionalMaxPoolGrad` triggers an undefined behavior if one of the input tensors is ... (click for more) Severity: MEDIUM https://t.co/ypLfQxNto0,2021-05-20 15:00:24,https://twitter.com/i/web/status/1395393980704120837
🚨 NEW: CVE-2021-29573 🚨 TensorFlow is an end-to-end open source platform for machine learning. The implementation of `tf.raw_ops.MaxPoolGradWithArgmax` is vulnerable to a division by 0. The implementation(https://g... (click for more) Severity: MEDIUM https://t.co/SHUqGll71R,2021-05-20 15:00:24,https://twitter.com/i/web/status/1395393980670562305
🚨 NEW: CVE-2021-29569 🚨 TensorFlow is an end-to-end open source platform for machine learning. The implementation of `tf.raw_ops.MaxPoolGradWithArgmax` can cause reads outside of bounds of heap allocated data if at... (click for more) Severity: HIGH https://t.co/i11hbKyxkA,2021-05-20 15:00:24,https://twitter.com/i/web/status/1395393980624510976
"[En direct]🔥 
Le #live Machine learning &amp; Deep learning c'est maintenant sur le canal #twitch de Tera Campus ! 

https://t.co/fURuKuDnn0

#streamer #Livestream #streaming #LiveConf #livestreaming #IntelligenceArtificielle https://t.co/x42hzCWPd4",2021-05-20 15:00:18,https://twitter.com/i/web/status/1395393955588722690
"Adapting to a digital transformation does not mean only remote working or developing apps with machine learning, it is about adapting every aspect of your business to be compatible in a contactless economy. 

Read more here: https://t.co/YAtTrPEodl https://t.co/mZz3TWGVht",2021-05-20 15:00:13,https://twitter.com/i/web/status/1395393933065129984
.@Buzzsumo trained machine learning models with BuzzSumo data to find out what boosts your content engagement on social media. https://t.co/Zjr2T0LIl6,2021-05-20 15:00:04,https://twitter.com/i/web/status/1395393896373440514
"Senior Software Engineer, Applied Machine Learning Platform Team at Apple (Austin, TX) https://t.co/meFHsozRbs #amazonwebservices",2021-05-20 15:00:03,https://twitter.com/i/web/status/1395393889352171520
"Top MLN stories in the past 24 hours:

 - [VIDEO] Train Mask R-CNN on Custom Data: https://t.co/gVwS8u0TWE

 - Two open PhD positions on machine learning for 2D and 3D CT applied to ma...: https://t.co/JEEyv5pdPl",2021-05-20 15:00:00,https://twitter.com/i/web/status/1395393878753173506
"One of the rare times I look at LinkedIn, I come across this graph. IDK how it's made, but being in the field, I think it's such a good reference. Like, just have a good grasp on Python and how to use basic machine learning techniques and you can land a pretty good paying job. https://t.co/zIxwIO9vmt",2021-05-20 14:59:55,https://twitter.com/i/web/status/1395393858691911685
"You don’t code? Do #machinelearning straight from Microsoft #Excel

#deeplearning #AI #Python #MSExcel #DataMining 
Cc-@bendee983 @InfosecVision @reillyusa @alauddin_ahmed @ELavrova24 @jennmartin0707 @CarinaKordan @mikealdo007 @jackiecmusic https://t.co/B1KUqBjwBm  @VentureBeat https://t.co/2L6SSBjK90",2021-05-20 14:59:53,https://twitter.com/i/web/status/1395393849128898571
Curious about machine learning? There are free sessions for that. Check out the agenda and #SASusers sessions happening today at #SASGF. https://t.co/Ra8HSZXfMC https://t.co/pSA160fCoI,2021-05-20 14:58:35,https://twitter.com/i/web/status/1395393522744836105
"ML Automation Using EvalML
https://t.co/DTKArxB50u

#MachineLearning #Python  #cryptocurrency 
#AI #Data #DataScience #100DaysOfCode #100DaysOfMLCode #OpenSource #technology #programming #ArtificialIntelligence #CloudComputing  #Analytics #DataScience #fintech #javascript #Linux",2021-05-20 14:58:35,https://twitter.com/i/web/status/1395393520387694593
"This is a true opportunity who has an interest in Machine Learning. I'm on in too. Let's enjoy it together!
* Thank you for giving me, a poor full-time student, a chance to take this course for free. @svpino https://t.co/viLwTe56Sp",2021-05-20 14:58:28,https://twitter.com/i/web/status/1395393493657288706
"Moving onto Q&amp;A: Are there technologies other than machine learning that have implications on #democracy/ #HumanRights ? 
Yes, even very simple algorithmic models can have very harmful outcomes for your rights.  #AI",2021-05-20 14:58:11,https://twitter.com/i/web/status/1395393423381831684
#MachineLearning Orchestration on #Kubernetes using #Kubeflow https://t.co/8wBiLdHs6C https://t.co/pedWKJBjGE,2021-05-20 14:58:03,https://twitter.com/i/web/status/1395393389147869186
@IamHappyToast They probably ran it through Adobe Super Resolution or some other machine learning AI upscaling software. I'd be most interested in looking at the file headers and whomever buys it is a mug.,2021-05-20 14:57:50,https://twitter.com/i/web/status/1395393332046598144
"Just thinking about how when I was learning to type, different keyboards would have symbols in different places. Depending on which machine in the computer lab you got, apostrophe might be shift-7 or its own key beside return.",2021-05-20 14:57:43,https://twitter.com/i/web/status/1395393302145507329
"If you've ever worried about facial recognition, you're not alone. https://t.co/mi8kmUNdk3",2021-05-20 14:57:13,https://twitter.com/i/web/status/1395393177830387714
"A new era of DevOps, powered by machine learning https://t.co/94GbMxHG87",2021-05-20 14:57:13,https://twitter.com/i/web/status/1395393176962281475
Join us for the BPS Virtual Networking Event: Biomolecular Modeling in the Age of Machine Learning on May 21! This event will cover using machine learning to enhance the molecular modeling of biophysical systems. The event is free to all! Register here https://t.co/FI7riSqHpf,2021-05-20 14:57:09,https://twitter.com/i/web/status/1395393163511181319
"Assortment optimization isn't solely a solution that utilizes machine learning techniques and AI to find the optimal assortment for every SKU in each location. It offers other unique benefits. Here are 3 ways AO is different, and why you need it. https://t.co/oIOmF0k0gy https://t.co/iFW7760oD9",2021-05-20 14:56:16,https://twitter.com/i/web/status/1395392938096664577
"The Unsung Heroes Of Machine Learning Are In Data Operations https://t.co/4QRO1NunV6 #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/43Eo7ayx2e",2021-05-20 14:56:08,https://twitter.com/i/web/status/1395392905041391616
"#web_challenge_day_03
Learning full-stack web development.
Topics I laid over:
Git, Git commands, Sign up GitHub, Git in local machine, cloning through VS code, Git commit and add command, Git push, Git branching, undoing in Git, forking in Git.
#100DaysOfCode 
#DEVCommunity",2021-05-20 14:56:07,https://twitter.com/i/web/status/1395392901694197763
"If you've ever worried about facial recognition, you're not alone. https://t.co/QdHoYEysBN",2021-05-20 14:55:59,https://twitter.com/i/web/status/1395392866109644802
"If you've ever worried about facial recognition, you're not alone. https://t.co/TFTWkmX3wJ",2021-05-20 14:55:46,https://twitter.com/i/web/status/1395392811541811200
"https://t.co/LxMI15XI4H - Was a flying killer robot used in Libya? Quite possibly - Bulletin of the Atomic Scientists : Great. Lethal machine learning is now in prod:

Last year in Libya, a Turkish-made autonomous weapon — the STM Kargu-2 drone — may have “hunted down and remot…",2021-05-20 14:55:18,https://twitter.com/i/web/status/1395392693887508481
"A new era of DevOps, powered by machine learning from @werner https://t.co/qk74H9ygeG",2021-05-20 14:54:28,https://twitter.com/i/web/status/1395392486978342914
"Google Cloud launches Vertex #AI, a managed platform for experimentation, versioning and deploying #ML models into production. #mlops 

https://t.co/O7oOC7YIva",2021-05-20 14:54:06,https://twitter.com/i/web/status/1395392391926980615
"@voltagex @sarahyuui Reading the press release ;) 
""Using built-in motion sensors like the gyroscope and accelerometer, along with the optical heart rate sensor and on-device machine learning, Apple Watch can detect subtle differences in muscle movement and tendon activity, […]""",2021-05-20 14:53:54,https://twitter.com/i/web/status/1395392343046508552
"If you've ever worried about facial recognition, you're not alone. https://t.co/frYZGHZAfg",2021-05-20 14:53:42,https://twitter.com/i/web/status/1395392293117382661
"@mckaywrigley Machine learning isn’t just for software engineers &amp; data scientist. It can literally be applied to any field as a tool that improves performance.

Education is not about teaching specific material. It is about building a foundation that enables lifelong learning.",2021-05-20 14:53:07,https://twitter.com/i/web/status/1395392145490538497
Got an INSANE antivirus yesterday it’s government based and is built on AI and machine learning literally stops a virus before it can even touch my computer along with learning about the code in it to fight things that could be similar crazy af,2021-05-20 14:53:05,https://twitter.com/i/web/status/1395392139421392898
"Very cool work from the @CovidSurg  Collaborative - using machine learning to develop risk calculator that predicts mortality from covid. 

https://t.co/x8OSwsa7cO
@kdpsinghlab",2021-05-20 14:52:38,https://twitter.com/i/web/status/1395392026779160579
New mac and midi keyboard arriving tomorrow! Bring on the Composing and Machine Learning once a few papers are out of the way!,2021-05-20 14:52:28,https://twitter.com/i/web/status/1395391984567734287
"Feature Scaling in Machine Learning
#machinelearning #Python #javascript #100DaysOfCode 
https://t.co/UvxBTLOqXc",2021-05-20 14:52:18,https://twitter.com/i/web/status/1395391942406512647
“Machine learning” https://t.co/i1qA6QZZCj https://t.co/F1ctV4lmsi,2021-05-20 14:51:51,https://twitter.com/i/web/status/1395391829466550273
"Everything awesome ends quickly - that is also true for the 5th edition of the NDSML Summit. During the past 3 days, we've heard some amazing case studies, strategies and approaches in Data Science and Machine Learning. ✨

Thank you to everyone joining🙏

#NDSMLSummit2021 https://t.co/Q2MKeKMLue",2021-05-20 14:51:40,https://twitter.com/i/web/status/1395391782226206729
PhD student position in machine learning / neuroscience - jobRxiv https://t.co/69rjspuiNy,2021-05-20 14:51:36,https://twitter.com/i/web/status/1395391765578928129
"Dr. Premananda Indic, Assistant Professor of Electrical Engineering and ORS Lab Consultant, will present his machine learning workshop on May 21 and May 28 from 11am – 2pm CST. 

Join us in SCOB 251 or attend via Zoom. Please visit https://t.co/50o7ARf5dR for Zoom link https://t.co/HW04gF5Lzm",2021-05-20 14:51:30,https://twitter.com/i/web/status/1395391739159097355
"The Lunch at ICAI session of June 17 is focused on data management and machine learning. Sign up now! With Sebastian Schelter @Gyllenladret and Asterios Katsifodimos @kAsterios 
https://t.co/Kn40d5cRMh",2021-05-20 14:51:12,https://twitter.com/i/web/status/1395391665901346817
"@CryptoMoon72 @AstroCryptoGuru These are the machine learning model weights. 

These weights, when combined with the other 1200 data points in the model create the best fit to BTC price behavior.

Yesterdays drop will be used to influence the model going forward.",2021-05-20 14:50:43,https://twitter.com/i/web/status/1395391544195125249
End-to-End IoT analytics and machine learning with Azure Data and AI services  https://t.co/gG27uBWb6G #MicrosoftAzure,2021-05-20 14:50:41,https://twitter.com/i/web/status/1395391532216328198
"@vicgrinberg What I need to do is build a machine learning algorithm to infer the size of skittles from images, then it'll be machine learning algorithms all the way down. https://t.co/MGo770rmym",2021-05-20 14:50:24,https://twitter.com/i/web/status/1395391460678197248
End-to-End IoT analytics and machine learning with Azure Data and AI services #Learning via https://t.co/iWAHge7rvy https://t.co/pGFRrR03Vo,2021-05-20 14:50:19,https://twitter.com/i/web/status/1395391442554703873
ECiP @GeccoConf : Model-based condition and process monitoring of automated assembly systems based on #MachineLearning  learning methods: https://t.co/KEFJxgQ5jr https://t.co/K6C7rD49SR,2021-05-20 14:50:16,https://twitter.com/i/web/status/1395391430517006336
"3/ @TravisAddair is part of an outstanding speaker lineup at the 2021 #RaySummit, a FREE virtual conference that brings together developers, machine learning practitioners, data scientists, DevOps, and cloud-native architects. End/
https://t.co/cuJgIhKoL4",2021-05-20 14:50:16,https://twitter.com/i/web/status/1395391429942255623
"2/ Besides Horovod and Ludwig, we also discussed how Uber has been using Ray to simplify and optimize their deep learning and machine learning infrastructure 
https://t.co/cuJgIhKoL4",2021-05-20 14:50:16,https://twitter.com/i/web/status/1395391428935618561
"1/ In this episode of #TheDataExchangePod I speak with @TravisAddair, maintainer of Horovod, a distributed deep learning training framework; and co-maintainer of Ludwig, a toolbox that allows users to train &amp; train DL models without the need to write code
https://t.co/cuJgIhKoL4",2021-05-20 14:50:16,https://twitter.com/i/web/status/1395391427740192779
"#FEATURED #COURSES

Machine Learning, Data Science and Deep Learning with Python

Complete hands-on #machine #learning tutorial with #data #science, #Tensorflow, #artificial #intelligence, and neural networks

https://t.co/PaHDf4fIL2

#python #100daysofcode #coding #udemy https://t.co/kSrUk10JrM",2021-05-20 14:50:05,https://twitter.com/i/web/status/1395391381154238467
"Machine Learning Production Engineer at Apple (Austin, TX) https://t.co/axwbL3ZYva #apachespark",2021-05-20 14:50:03,https://twitter.com/i/web/status/1395391375600914434
Machine learning can help keep the global supply chain moving https://t.co/1WE8jTcjCX,2021-05-20 14:50:03,https://twitter.com/i/web/status/1395391374296502279
"End-to-End IoT analytics and machine learning with Azure Data and AI services
https://t.co/rSbrMjWeL5 #Microsoft",2021-05-20 14:50:01,https://twitter.com/i/web/status/1395391364347662340
"Assortment optimization isn't solely a solution that utilizes machine learning techniques and AI to find the optimal assortment for every SKU in each location. It offers other unique benefits. Here are 3 ways AO is different, and why you need it. https://t.co/99aT4JFHgZ https://t.co/wteHZ9ctHA",2021-05-20 14:48:13,https://twitter.com/i/web/status/1395390911769718795
"@tanhabitcoin @chiefHOKK @hokkaiduinu @RemindMe_OfThis Guys, I feel like people are definitely using machine learning to determine the sentiment of certain coin. If the sentiment is negative, they will think it’s dip and buy in.",2021-05-20 14:47:32,https://twitter.com/i/web/status/1395390742143569926
"More businesses than ever are seeking coders &amp; Miami school @4GeeksAcademy is helping shape the industry &amp; creating offerings for students as it recently announced its Artificial Intelligence &amp; Machine Learning Engineering Program in #Miami! Learn more:
https://t.co/qUbxh9KufB https://t.co/C8Og20Rp3v",2021-05-20 14:47:20,https://twitter.com/i/web/status/1395390691459670018
Machine Learning (Chinese Edition) https://t.co/wYjLo83oHZ  #python #ad,2021-05-20 14:46:57,https://twitter.com/i/web/status/1395390592557932557
"1. Automating processes, improving efficiencies and enabling alternative care delivery models
2. Predicting risks and suggesting interventions
3. Revealing patterns in disease, getting to a diagnosis quickly and advancing therapies…https://t.co/QyvLmmltnF https://t.co/hVfFDJIi44",2021-05-20 14:46:48,https://twitter.com/i/web/status/1395390557048934408
@nwnancy @pyliu47 Exactly. This is not my area of expertise but I believe machine learning can sift through the data to find connections and correlations that a human might not look for.,2021-05-20 14:46:07,https://twitter.com/i/web/status/1395390384927281154
@SASsoftware @GeorgiaPacific Roshan Shah's machine learning work is incredible. Congratulations! #SASUsers are so lucky to have you in their network 🙌🙌!! #SASGF #MachineLearning,2021-05-20 14:45:36,https://twitter.com/i/web/status/1395390254568415242
