mensaje,etiqueta
"FreeMsg ¿Por qué no ha respondido a mi mensaje de texto? Soy Randy, sexy, mujer y vivo local. Me encanta saber de ti. Netcollex Ltd 08700621170150p por respuesta de mensaje Detener hasta finalizar",basura
"Para tener la oportunidad de ganar £ 250 en efectivo cada semana, TEXTO: ACCIÓN al 80608. T & C's www.movietrivia.tv cust care 08712405022, 1x150p / wk.",basura
"Sunshine Hols. Para reclamar sus vacaciones médicas, envíe un sobre sellado con su dirección personal a Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. ¡La prueba comienza el sábado! Unsub Stop",basura
"Su saldo en efectivo es actualmente de 500 libras; para maximizar su ingreso en efectivo, envíe COLLECT al 83600 solo 150p / msg. CC: 08718720201 PO BOX 114/14 TCR / W1",basura
"¿Tu contrato de móvil tenía 11 Mnths? ¡Lo último de Motorola, Nokia, etc., todo GRATIS! Double Mins & Text sobre tarifas de Orange. TEXT YES para devolución de llamada, no para eliminar de los registros.",basura
No te conozco y tú no me conoces. ¡Envía CHAT al 86688 ahora y encontrémonos! Sólo rcvd 150p / Msg. HG / Suite342 / 2Lands / Row / W1J6HL LDN. 18 años o más.,basura
"Gana el más nuevo “Harry Potter y la Orden del Fénix (Libro 5) responde a HARRY, responde 5 preguntas - ¡oportunidad de ser el primero entre los lectores!",basura
¿Te das cuenta de que en unos 40 años tendremos miles de ancianas corriendo con tatuajes?,basura
"NOKIA GRATIS o Motorola con hasta 12 meses 1/2 precio de alquiler por línea, 500 minutos x-net GRATIS y 100 txt / mes B'tooth * GRATIS. Llame a Mobileupd8 al 08001950382 o llame a 2optout / D3WV",basura
"Hola nena, es Jordan, ¿cómo estás? Estoy en casa desde el extranjero y me siento solo, envíame un mensaje de texto si quieres chatear xxSP visionsms.com Envía un mensaje de texto para detener para detener Costo 150p 08712400603",basura
¡Una gran noticia! Llame a FREEFONE 08006344447 para reclamar su regalo garantizado de £ 1000 en EFECTIVO o £ 2000. ¡Habla con un operador en vivo AHORA!,basura
"Entrada GRATUITA a nuestra competencia semanal de £ 250, simplemente envíe un mensaje de texto con la palabra GANAR al 80086 AHORA. 18 T&C www.txttowin.co.uk",basura
"¡Alguien que conoces ha pedido a nuestro servicio de citas 2 que te contacte! ¿No puedo adivinar quién? LLAME AL 09058097189 AHORA todo será revelado. POBox 6, LS15HB 150p",basura
"GRATIS> Tono de llamada! Responde REAL o POLY, por ejemplo, REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1er tono GRATIS y 6 más cuando te unes por £ 3 / semana",basura
"Oferta de hoy! ¡Reclame sus cupones de descuento por valor de 150 €! Envía SÍ al 85023 ahora. ¡SavaMob, ofertas para miembros móviles! T Cs 08717898035. £ 3.00 Sub. dieciséis . Respuesta de Unsub X",basura
¡URGENTE! Estamos intentando ponernos en contacto con U. El sorteo de hoy muestra que has ganado un premio de 2000 £ GARANTIZADO. Llame al 09058094507 desde el teléfono fijo. Reclamación 3030. Válido solo por 12 horas,basura
"¡Venta masculina de enero! Hot Gay chat ahora más barato, llame al 08709222922. ¡Tarifa nacional de 1.5p / min barato a 7.8p / min pico! Para detener los mensajes de texto, llame al 08712460324 (10p / min)",basura
¡UNA RECOMPENSA DE NAVIDAD DE £ 400 LE ESPERA! Nuestra computadora lo ha elegido al azar entre nuestros leales clientes móviles para recibir una recompensa de £ 400. Solo llame al 09066380611,basura
"Enhorabuena, recibió 500 £ de vales de regalo de CD y la entrada gratuita 2 a nuestro sorteo semanal de £ 100 envíe MÚSICA a 87066 TnCs www.Ldew.com1win150ppmx3age16",basura
¡URGENTE! Su número de teléfono móvil ha sido galardonado con un premio de 2000 £ GARANTIZADO. Llame al 09058094454 desde el teléfono fijo. Reclamación 3030. Válido solo por 12 horas,basura
"Anuncio de servicio al cliente. Recientemente intentamos hacerle una entrega, pero no pudimos hacerlo, llame al 07090298926 para reprogramarla. Ref: 9307622",basura
Intentamos ponernos en contacto con usted en relación con nuestra oferta de un nuevo videoteléfono 750 en cualquier momento y en cualquier momento de la red. MITAD DE PRECIO.,basura
"Gracias, ganador notificado por sms. ¡Buena suerte! No hay respuesta de marketing en el futuro DETÉNGASE a 84122 servicio al cliente 08450542832",basura
le dice que llame al 09066358152 para reclamar un premio de 5000 £. Debes ingresar todos los datos personales y móviles de tu teléfono en las indicaciones. ¡Cuidado!,basura
Cámara: ¡se le otorga una cámara digital SiPix! llama al 09061221066 fromm fijo. Entrega en 28 días.,basura
"Oferta de Navidad! ¡Lo último de Motorola, SonyEricsson y Nokia y Bluetooth o DVD GRATIS! Double Mins y 1000 Txt en naranja. Llame a MobileUpd8 al 08000839402 o llame a 2optout / 4QF2",basura
SUBASTA DE SMS: ¡UN NUEVO Nokia 7250 se subasta 4 hoy! La subasta es GRATIS 2 ¡únete y participa! ¡Envía NOKIA al 86021 ahora!,basura
"FREE2DAY ¡foto sexy del Día de San Jorge de Jordan! Envía PIC al 89080 ¡no te la pierdas, y luego cada semana una celebridad descarada! 4 fotos más c PocketBabe.co.uk 0870241182716 £ 3 / sem",basura
74355 XMAS iscoming y recibiste cupones de regalo de £ 500 en CD y entrada gratuita 2 r £ 100 sorteo semanal txt MUSIC al 87066 TnC,basura
Envía BANNEDUK al 89555 para verlo. costo 150p textoperator g696ga 18+ XXX,basura
Gana un premio en efectivo de £ 1000 o un premio por valor de £ 5000,basura
"¡Alguien que conoces ha pedido a nuestro servicio de citas 2 que te contacte! ¿No puedo adivinar quién? LLAME AL 09058091854 AHORA, todo será revelado. PO BOX385 M6 6WU",basura
"44 7732584351, ¿Desea recibir un nuevo teléfono en color Nokia 3510i mañana? Con 300 minutos gratis para cualquier móvil + 100 mensajes de texto gratis + Videocámara gratis, responde o llama al 08000930705.",basura
"Compré un tono de llamada y ahora recibo mensajes de texto que cuestan 3 libras y ofrecen más tonos, etc.",basura
Txt: LLAME al No: 86888 y reclame su recompensa de 3 horas de tiempo de conversación para usar desde su teléfono ahora. Suscríbete6GBP / mnth inc 3hrs 16 stop? TxtStop www.gamb.tv,basura
No. 1 Nokia Tone 4 ur mob cada semana! Simplemente envíe NOK al 87021. ¡1er tono GRATIS! así que consigue txtin ahora y cuéntaselo a tus amigos. 150p / tono. 16 respuestas HL 4info,basura
"¡Alguien tímido le pidió a nuestro servicio de citas 2 que contacte con U! LLAME AL 09058091870 AHORA todo será revelado. POBox84, M26 3UZ 150p",basura
Tienes un Admirador Secreto que está buscando 2 contacta con U-averigua a quién R * revelan quién piensa que UR es tan especial-llama al 09065171142-stopsms-08718727870150ppm,basura
¡URGENTE! Este es el segundo intento de contactar con U! U ha GANADO £ 1000 LLAME 09071512432 b4 300603t & csBCM4235WC1N3XX.callcost150ppmmobilesvary. máximo £ 7. 50,basura
"MENSAJE GRATUITO Active sus 500 mensajes de texto GRATUITOS respondiendo a este mensaje con la palabra GRATUITO Para conocer los términos y condiciones, visite www.07781482378.com",basura
¡Se le otorga una cámara digital SiPix! llama al 09061221061 desde fijo. Entrega en 28 días. Caja T Cs177. M221BP. 2 años de garantía. 150ppm. dieciséis . p p £ 3.99,basura
"Préstamo para cualquier propósito entre £ 500 y £ 75,000. Propietarios + Inquilinos bienvenidos. ¿Ha sido rechazado anteriormente? Todavía podemos ayudar. Llame gratis al 0800 1956669 o envíe un mensaje de texto con 'ayuda'",basura
"Puede GANAR £ 100 en vales de regalo de música cada semana a partir de AHORA Envíe la palabra DRAW al 87066 TsCs www.Idew.com SkillGame, 1Winaweek, 16 años. 150ppermessSuscripción",basura
"¡Ha ganado 1.000 euros en efectivo o un premio de 2.000 euros! Para reclamar, llame al 09050000327. Términos y condiciones: RSTM, SW7 3SS. 150 ppm",basura
Teléfonos con cámara GRATIS con alquiler de línea a partir de 4.49 / mes con 750 minutos cruzados ntwk. Ofertas de paquetes txt de 1/2 precio también disponibles. Llame al 08001950382 o llame2optout / J MF,basura
Prepare su jardín para el verano con una selección GRATUITA de bulbos y semillas de verano por valor de £ 33: 50 solo con The Scotsman este sábado. Para detener go2 notxt.co.uk,basura
"No lo creerás, pero es verdad. ¡Son Txts increíbles! Responde G ahora para aprender cosas realmente asombrosas que te dejarán boquiabierto. Desde O2FWD solo 18p / txt",basura
"¡¡URGENTE!! Sus vacaciones de 4 * en la Costa del Sol o £ 5000 aguardan la recogida. Llame al 09050090044 ahora para reclamar. SAE, TC s, POBox334, Stockport, SK38xh, costo £ 1.50 / pm, Max10mins",basura
"Contraseña mensual para wap. mobsi.com es 391784. Utilice su teléfono wap, no su PC.",basura
No b floppy ... b rápido y feliz! Solo servicio de chat gay con carga de fotos llame al 08718730666 (10p / min). 2 detenga nuestros mensajes de texto llame al 08712460324,basura
Recibirá el tono de llamada Triple Echo de esta semana en breve. ¡Disfrútala!,basura
FREEMSG: Nuestros registros indican que puede tener derecho a 3750 libras por el Accidente que tuvo. Para reclamar una respuesta gratuita con SÍ a este mensaje. Para optar por no recibir mensajes de texto STOP,basura
"¡Últimas noticias! Roban el inodoro de la estación de policía, ¡los policías no tienen nada que hacer!",basura
"Aquí está su código de descuento RP176781. Para detener más mensajes, responda detener. www.regalportfolio.co.uk. Atención al cliente 08717205546",basura
"¿Wan2 gana un Meet + Greet con Westlife 4 U o un m8? ¿En qué gira están actualmente? 1) Irrompible, 2) Indomable, 3) Descuidado. Envía 1, 2 o 3 al 83049. Costo 50p + texto estándar",basura
¿Quieres un nuevo teléfono de video? 750 en cualquier momento cualquier minuto de red? Alquiler de línea a mitad de precio? Videocámara? Responde o llama al 08000930705 para recibir la entrega mañana,basura
Intentamos ponernos en contacto con usted como respuesta a nuestra oferta de un nuevo fone y videocámara de Nokia. Pulse responder o llame al 08000930705 para recibir la entrega.,basura
"Estimado titular del cupón: Para reclamar la oferta de esta semana, en su PC, visite http://www.e-tlp.co.uk/reward. Se aplican los términos y condiciones.",basura
"Premio falso de £ 350: los números de Voda de hoy que terminan en XXXX se seleccionan para recibir un premio de £ 350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 3100 aplicación de tarifas estándar",basura
Cuestionario de televisión EASTENDERS. ¿Con qué FLOR se compara DOT? D = VIOLETA E = TULIPÁN F = LILY txt D E o F a 84025 AHORA 4 posibilidades 2 GANA £ 100 Efectivo WKENT / 150P16 +,basura
"¿Crees que eres inteligente? Gane £ 200 esta semana en nuestro cuestionario semanal, envíe el mensaje de texto PLAY al 85222 ahora! T & Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50 / semana",basura
U está suscrito al mejor servicio de contenido móvil en el Reino Unido por £ 3 por diez días hasta que envíe STOP al 83435. Línea de ayuda 08706091795.,basura
¡Se le otorga una cámara digital SiPix! llama al 09061221061 desde fijo. Entrega en 28 días. Caja T Cs177. M221BP. 2 años de garantía. 150ppm. dieciséis . p p £ 3.99,basura
"¿Quieres echar un polvo 2 noches? ¿Quieres que se envíen ubicaciones reales de Dogging directamente a tu móvil? Únase a la red Dogging más grande del Reino Unido. ¡Envía PARK al 69696 ahora! Nyt. ec2a. 3lp 1,50 € / mensaje",basura
"Obtenga el tono 3 Lions England, responda lionm 4 mono o lionp 4 poly. 4 más, vaya a 2 www.ringtones.co.uk, el original y el mejor. Se aplican tarifas de operador de red de tonos 3GBP.",basura
"¿Has notado alguna vez que cuando conduces, cualquiera que vaya más lento que tú es un idiota y todo el que conduce más rápido que tú es un maníaco?",basura
Tienes 1 mensaje nuevo. Llame al 08712400200.,basura
Tone Club: Tus suscripciones han expirado 2 re-respuesta MONOC 4 monos o POLYC 4 polys 1 semanal @ 150p por semana Txt STOP 2 stop Este mensaje gratuito Stream 0871212025016,basura
"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco & Entry41 o £ 1000. Para reclamar txt DIS al 87121 18 + 6 * £ 1.50 (moreFrmMob. ShrAcomOrSglSuplt) 10, LS1 3AJ",basura
"Puede donar 2,50 libras esterlinas al fondo de apoyo para desastres del tsunami asiático de UNICEF enviando un mensaje de texto con DONATE al 864233. Se añadirán 2,50 libras esterlinas a su próxima factura.",basura
¡URGENTE! Estamos tratando de ponernos en contacto con U. El sorteo de hoy muestra que ha ganado un premio de £ 800 GARANTIZADO. Llame al 09050001808 desde su teléfono fijo. Reclamación M95. Válido solo 12 horas,basura
"Su ID de usuario único es 1172. Para eliminarlo, envíe STOP al 87239 servicio al cliente 08708034412",basura
"Quieres mejorar tu fone con un tono nuevo semanal, responde TONES2U 2 a este texto. www.ringtones.co.uk, el mejor original. Se aplican tarifas de operador de red de tonos 3GBP",basura
08714712388 entre las 10 am y las 7 pm Costo 10p,basura
Llame a nuestro representante de servicio al cliente en el TELÉFONO GRATUITO 0808 145 4742 entre las 9 am y las 11 pm ya que ha GANADO un premio garantizado de £ 1000 en efectivo o £ 5000,basura
"Ibiza Holiday 4 ESTRELLAS de cortesía o £ 10,000 en efectivo necesita su colección URGENTE. 09066364349 AHORA de Landline para no perder! Caja434SK38WP150PPM18 +",basura
"GRATIS durante la 1ª semana! No1 Nokia tone 4 ur mob cada semana, simplemente envíe NOKIA al 8007 Reciba mensajes de texto y dígaselo a tus amigos www.getzed.co.uk POBox 36504 W45WQ norm150p / tone 16+",basura
"SUBASTA DE SMS Has ganado un Nokia 7250i. Esto es lo que obtiene cuando gana nuestra subasta GRATUITA. Para participar, envía Nokia al 86021 ahora. HG / Suite342 / 2Lands Row / W1JHL 16+",basura
"Entrada gratuita a gr8prizes wkly comp 4 y la oportunidad de ganar el último Nokia 8800, PSP o £ 250 en efectivo cada semana.TXT GREAT al 80878 http // www.gr8prizes.com 08715705022",basura
2 peniques por minuto para llamar a Alemania 08448350055 desde su línea BT. Solo 2 peniques por minuto. Visite PlanetTalkInstant.com para obtener información y términos y condiciones. Deténgase para cancelar la suscripción,basura
¿Quieres reír? ¡Prueba CHIT-CHAT en tu móvil ahora! Inicie sesión enviando un mensaje de texto con la palabra: CHAT y envíelo al número: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p / msg rcvd,basura
"¿Te apetece una pelusa? Yo lo hago ¿Interesado? sextextuk.com txt XXUK SUZY al 69876. Los txts cuestan 1,50 por mensaje. TnC en el sitio web. X",basura
¿Quiere un nuevo teléfono color Nokia 3510i entregado mañana? Con 200 minutos GRATIS para cualquier móvil + 100 mensajes de texto GRATIS + videocámara GRATIS Responde o llama al 08000930705,basura
"Has ganado un Nokia 7250i. Esto es lo que obtiene cuando gana nuestra subasta GRATUITA. Para participar, envía Nokia al 86021 ahora. HG / Suite342 / 2Lands Row / W1JHL 16+",basura
¡Lo siento! No puedes darte de baja todavía. El paquete de oferta MOB tiene un plazo mínimo de 54 semanas> vuelva a enviar la solicitud después de la expiración. Responder THEMOB HELP 4 más información,basura
Intentamos ponernos en contacto con usted para responder a nuestra oferta de un teléfono con video 750 en cualquier momento y en cualquier momento de la red.,basura
"Oferta de hoy! ¡Reclame sus cupones de descuento por valor de 150 €! Envía SÍ al 85023 ahora. ¡SavaMob, ofertas para miembros móviles! T Cs 08717898035. £ 3.00 Sub. dieciséis . Respuesta de Unsub X",basura
Tienes un admirador secreto que está buscando 2 contactar con U-averigua a quién R * revelan quién piensa que UR es tan especial-llama al 09058094565,basura
"Felicitaciones, recibió un suministro de CD de Virgin Records o un regalo misterioso GARANTIZADO Llame al 09061104283 Ts & Cs www.smsco.net £ 1.50pm aproximadamente 3mins",basura
¿Quieres echar un polvo esta noche? ¿Quieres ubicaciones reales de Dogging enviadas directamente a 2 ur mob? ¡Únase a la red Dogging más grande del Reino Unido bt Txting GRAVEL al 69888! Nuevo Testamento. ec2a. 31p.msg@150p,basura
<Reenviado desde 448712404000> LLAME al 08712404000 inmediatamente ya que hay un mensaje urgente esperándolo.,basura
"URGENTE. Información importante para 02 usuario. ¡Hoy es tu dia de suerte! 2 averigüe por qué, inicie sesión en http://www.urawinner.com, ¡le espera una sorpresa fantástica!",basura
Double Mins & Double Txt & 1/2 precio Linerental en los últimos móviles Orange Bluetooth. Llame a MobileUpd8 para conocer las últimas ofertas. 08000839402 o call2optout / LF56,basura
U está suscrito al mejor servicio de contenido móvil en el Reino Unido por £ 3 por 10 días hasta que envíe STOP al 82324. Línea de ayuda 08706091795,basura
Panasonic y BluetoothHdset GRATIS. Nokia GRATIS. Motorola FREE y DoubleMins y DoubleTxt con contrato naranja. Llame a MobileUpd8 al 08000839402 o llame a 2optout,basura
"Gracias por su suscripción a Ringtone UK, se le cobrará a su teléfono móvil £ 5 / mes. Confirme respondiendo SÍ o NO. Si responde NO, no se le cobrará",basura
¡Llame a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10 am y las 9 pm ya que ha GANADO un premio garantizado de £ 1000 en efectivo o £ 5000!,basura
"Esta es la segunda vez que intentamos 2 contactarnos. Has ganado el premio de 750 libras. 2 es fácil, llame al 08712101358 AHORA! Solo 10p por min. BT-tarifa-nacional",basura
"Para tener la oportunidad de ganar £ 250 en efectivo cada semana TEXTO: ACCIÓN al 80608. T & C's www.movietrivia.tv cust care 08712405022, 1x150p / wk",basura
Estoy caliente y cachonda y estoy dispuesta a vivir localmente para ti: envía un mensaje de texto para recibir una respuesta mía 150p por msg Netcollex Ltd HelpDesk: 02085076972 respuesta Detener hasta el final,basura
"¡Usted ha sido especialmente seleccionado para recibir un premio ""3000! Llame al 08712402050 ANTES de que cierren las líneas. Cuesta 10 ppm. 16+. Se aplican los términos y condiciones. AG Promo",basura
Freemsg: ¡llamadas gratuitas ilimitadas durante 1 mes! Activar SmartCall Txt: LLAME al número: 68866. Subscriptn3gbp / wk llamadas ilimitadas Ayuda: 08448714184 Stop? Txt stop landlineonly,basura
Nuevo TEXTBUDDY Chat 2 chicos cachondos en ur area 4 solo 25p Gratis 2 reciben Buscar código postal o en gaytextbuddy.com. TXT UN nombre al 89693,basura
¿Tu móvil tenía 11 meses? Actualice GRATIS a los últimos móviles con cámara a color de Oranges y llamadas ilimitadas los fines de semana. Llame a Mobile Upd8 en freefone 08000839402 o 2StopTx,basura
"Hola nena, soy Chloe, ¿cómo estás? Me destrozaron el sábado por la noche, ¡fue genial! ¿Cómo estuvo tu fin de semana? ¿Me has estado extrañando? SP visionsms.com Texto detener para detener 150p / texto",basura
TBS / PERSOLVO. Nos ha estado persiguiendo desde septiembre por £ 38 definitivamente no pagando ahora gracias a su información. Los ignoraremos. Kath. Manchester.,basura
"Entrada GRATUITA a nuestra compensación semanal de £ 250, simplemente envíe la palabra WIN al 80086 AHORA. 18 T&C www.txttowin.co.uk",basura
"FreeMsg: Reclame sus 250 mensajes SMS - Envíe un mensaje de texto OK al 84025 ahora Use web2mobile 2 ur mates, etc. Únase a Txt250.com por 1.50p / wk. T&C BOX139, LA32WU. dieciséis . Eliminar txtX o detener",basura
"Tonos Boltblue para 150p Responder POLY # o MONO #, por ejemplo, POLY3 1. Cha Cha Slide 2. Sí 3. Slow Jamz 6. Tóxico 8. Ven conmigo o PARE 4 tonos más txt MÁS",basura
"Estimado poseedor del bono, tenga su próxima comida por nuestra cuenta. Utilice el siguiente enlace en su pc 2 disfrute de una experiencia gastronómica 2 4 1http: //www.vouch4me.com/etlp/dining.asp",basura
"tddnewsletter@emc1.co.uk (Más juegos de TheDailyDraw) Querida Helen, Docenas de juegos gratis, con grandes premios Con ..",basura
"¡Urgente! llama al 09066350750 desde tu teléfono fijo. Sus vacaciones en Ibiza 4 * de cortesía o 10,000 en efectivo en espera de recolección SAE T & Cs PO BOX 434 SK3 8WP 150 ppm 18+",basura
No. 1 Nokia Tone 4 ur mob cada semana! Simplemente envíe NOK al 87021. ¡1er tono GRATIS! así que consigue txtin ahora y cuéntaselo a tus amigos. 150p / tono. 16 respuestas HL 4info,basura
"Enhorabuena, recibió 500 cupones de CD o 125 obsequio garantizado y entrada gratuita 2100 semanas de sorteo txt MUSIC a 87066 TnCs www.Ldew.com1win150ppmx3age16",basura
¡URGENTE! Estamos intentando ponernos en contacto con U. El sorteo de hoy muestra que has ganado un premio de 2000 £ GARANTIZADO. Llame al 09066358361 desde el teléfono fijo. Reclamación Y87. Válido solo 12 horas,basura
"en consecuencia. Repito, solo envía un mensaje de texto con la palabra ok en tu teléfono móvil y envía",basura
"¡Bien hecho INGLATERRA! ¡Obtén el tono de llamada oficial de poli o la bandera de color en tu móvil! envíe un mensaje de texto con TONE o FLAG al 84199 AHORA! Opt-out txt ENG STOP. Caja39822 W111WX 1,50 €",basura
¡SI! El único lugar de la ciudad para conocer a solteros adultos emocionantes es ahora el Reino Unido. ¡Envía CHAT al 86688 ahora! 150p / Msg.,basura
"Asuste a su mafia con una colección de Halloween de un logotipo y un mensaje con foto, además de un tono espeluznante gratuito, txt CARD SPOOK al 8007 zed 08701417012150p por logotipo / foto",basura
FreeMsg: Txt: LLAME al No: 86888 y reclame su recompensa de 3 horas de tiempo de conversación para usar desde su teléfono ahora. Suscríbete6GBP / mnth inc 3hrs 16 stop? TxtStop,basura
"Lo siento, perdí tu llamada, hablemos cuando tengas tiempo. Estoy en 07090201529",basura
¡UNA RECOMPENSA DE NAVIDAD DE £ 400 LE ESPERA! Nuestra computadora lo ha elegido al azar entre nuestros leales clientes móviles para recibir una recompensa de £ 400. Solo llame al 09066380611,basura
